inquiry_id,client_id,created_at,resolved_at,resolution_minutes,issue_category,issue_subcategory,priority,sla_hours,resolved_within_sla,satisfaction_score,channel,region,handled_by
INC00001,C1758,2/27/2025 0:47,2/27/2025 15:09,862,Fraud Detection,Card Fraud,Medium,48,TRUE,4,Phone,Central,Agent_55
INC00002,C1733,1/17/2025 0:05,1/17/2025 13:52,827,Fraud Detection,Suspicious Login,Low,72,TRUE,,Mobile App,South,Agent_58
INC00003,C1220,5/23/2025 0:48,5/25/2025 3:43,3055,Delay,Interbank Delay,Low,72,TRUE,,Chat,North,Agent_12
INC00004,C1470,7/14/2025 3:22,7/14/2025 13:53,631,Transaction Mismatch,Duplicate Transaction,High,24,TRUE,4,Phone,West,Agent_11
INC00005,C1046,5/31/2025 20:39,6/1/2025 23:35,1616,KYC/Documentation,Mismatch Info,Low,72,TRUE,4,Email,East,Agent_11
INC00006,C1214,4/30/2025 3:24,4/30/2025 13:06,582,Transaction Mismatch,Duplicate Transaction,Low,72,TRUE,4,Chat,North,Agent_78
INC00007,C1655,3/29/2025 17:46,3/30/2025 21:16,1650,Delay,Interbank Delay,Low,72,TRUE,4,Email,East,Agent_108
INC00008,C1935,1/29/2025 7:52,1/29/2025 18:20,628,KYC/Documentation,Verification Delay,Low,72,TRUE,4,Chat,South,Agent_84
INC00009,C1762,9/13/2025 12:56,9/13/2025 16:10,194,Payment Failure,Gateway Error,Low,72,TRUE,5,Chat,Central,Agent_55
INC00010,C1112,7/24/2025 11:14,7/24/2025 18:03,409,Payment Failure,Gateway Error,High,24,TRUE,3,Email,South,Agent_102
INC00011,C1881,8/5/2025 19:04,8/6/2025 2:00,416,Transaction Mismatch,Duplicate Transaction,Medium,48,TRUE,4,Phone,North,Agent_88
INC00012,C1896,5/17/2025 20:21,5/18/2025 17:40,1279,Fraud Detection,Card Fraud,Medium,48,TRUE,4,Chat,Central,Agent_98
INC00013,C1623,4/2/2025 16:58,4/3/2025 12:40,1182,KYC/Documentation,Verification Delay,High,24,TRUE,3,Email,South,Agent_48
INC00014,C1019,3/24/2025 17:49,3/24/2025 19:09,80,Payment Failure,Gateway Error,Medium,48,TRUE,5,Phone,East,Agent_113
INC00015,C1835,6/7/2025 7:03,6/9/2025 9:24,3021,KYC/Documentation,Missing Documents,Low,72,TRUE,2,Phone,Central,Agent_99
INC00016,C1621,3/6/2025 4:42,3/7/2025 2:57,1335,Chargeback,Customer Dispute,Low,72,TRUE,4,Mobile App,South,Agent_119
INC00017,C1462,4/13/2025 22:19,4/14/2025 8:45,626,Chargeback,Merchant Error,Medium,48,TRUE,4,Phone,South,Agent_29
INC00018,C1724,2/2/2025 10:01,2/2/2025 20:46,645,Payment Failure,Beneficiary Error,Low,72,TRUE,,Phone,South,Agent_9
INC00019,C1135,1/17/2025 10:04,1/18/2025 0:16,852,Fraud Detection,Suspicious Login,Medium,48,TRUE,3,Mobile App,South,Agent_101
INC00020,C1478,8/31/2025 13:12,9/3/2025 6:55,3943,Delay,Interbank Delay,Low,72,TRUE,2,Phone,North,Agent_8
INC00021,C1459,7/26/2025 23:21,7/27/2025 9:29,608,KYC/Documentation,Missing Documents,Low,72,TRUE,5,Email,West,Agent_24
INC00022,C1563,5/23/2025 14:15,5/24/2025 5:55,940,Chargeback,Merchant Error,High,24,TRUE,3,Phone,North,Agent_84
INC00023,C1218,1/8/2025 2:59,1/8/2025 15:34,755,KYC/Documentation,Missing Documents,Medium,48,TRUE,4,Mobile App,North,Agent_22
INC00024,C1980,7/14/2025 0:24,7/14/2025 19:41,1157,Chargeback,Merchant Error,Low,72,TRUE,4,Mobile App,South,Agent_25
INC00025,C1051,6/1/2025 6:03,6/1/2025 6:53,50,Account Access,Password Reset,Medium,48,TRUE,,Mobile App,Central,Agent_118
INC00026,C1882,3/22/2025 1:32,3/23/2025 2:40,1508,KYC/Documentation,Missing Documents,Medium,48,TRUE,3,Email,West,Agent_16
INC00027,C1535,5/7/2025 18:38,5/8/2025 0:29,351,Payment Failure,Insufficient Funds,Medium,48,TRUE,5,Chat,East,Agent_27
INC00028,C1951,6/10/2025 7:16,6/12/2025 12:38,3202,Delay,Processing Queue,Low,72,TRUE,3,Phone,North,Agent_59
INC00029,C1070,2/21/2025 2:34,2/21/2025 10:25,471,Payment Failure,Gateway Error,High,24,TRUE,4,Email,East,Agent_37
INC00030,C1669,3/22/2025 14:53,3/22/2025 18:00,187,Account Access,Locked Account,Critical,4,TRUE,2,Phone,Central,Agent_39
INC00031,C1288,2/23/2025 4:16,2/23/2025 19:59,943,KYC/Documentation,Mismatch Info,Medium,48,TRUE,4,Email,East,Agent_27
INC00032,C1849,5/16/2025 16:31,5/17/2025 23:25,1854,KYC/Documentation,Missing Documents,Low,72,TRUE,,Chat,North,Agent_1
INC00033,C1574,6/20/2025 4:40,6/20/2025 5:44,64,Delay,Interbank Delay,Medium,48,TRUE,5,Phone,North,Agent_10
INC00034,C1042,3/18/2025 17:02,3/19/2025 6:38,816,Transaction Mismatch,Missing Transaction,Low,72,TRUE,5,Chat,East,Agent_116
INC00035,C1905,1/21/2025 11:13,1/21/2025 20:31,558,Fraud Detection,Card Fraud,Low,72,TRUE,5,Mobile App,Central,Agent_96
INC00036,C1183,3/21/2025 7:55,3/21/2025 21:18,803,Chargeback,Customer Dispute,High,24,TRUE,3,Chat,West,Agent_103
INC00037,C1481,5/8/2025 8:10,5/8/2025 12:17,247,Account Access,MFA Issue,High,24,TRUE,,Email,South,Agent_105
INC00038,C1197,8/24/2025 11:19,8/24/2025 15:28,249,Account Access,Password Reset,Low,72,TRUE,5,Mobile App,East,Agent_36
INC00039,C1339,2/5/2025 8:22,2/5/2025 11:07,165,Payment Failure,Beneficiary Error,Critical,4,TRUE,3,Phone,North,Agent_113
INC00040,C1805,5/14/2025 5:37,5/14/2025 20:11,874,Delay,Processing Queue,Medium,48,TRUE,4,Chat,West,Agent_78
INC00041,C1532,3/1/2025 12:57,3/2/2025 4:57,960,Fraud Detection,Card Fraud,Medium,48,TRUE,3,Email,East,Agent_56
INC00042,C1921,2/5/2025 21:58,2/6/2025 1:04,186,Payment Failure,Beneficiary Error,High,24,TRUE,5,Chat,Central,Agent_40
INC00043,C1962,7/29/2025 10:25,7/30/2025 3:59,1054,Fraud Detection,Card Fraud,Low,72,TRUE,,Mobile App,South,Agent_79
INC00044,C1593,6/4/2025 12:35,6/6/2025 0:36,2161,Delay,Interbank Delay,Low,72,TRUE,3,Chat,West,Agent_57
INC00045,C1290,8/15/2025 21:13,8/16/2025 11:47,874,Transaction Mismatch,Missing Transaction,Low,72,TRUE,4,Chat,North,Agent_105
INC00046,C1486,5/1/2025 21:19,5/2/2025 16:53,1174,KYC/Documentation,Missing Documents,Low,72,TRUE,4,Phone,West,Agent_54
INC00047,C1005,4/10/2025 22:44,4/11/2025 10:31,707,Transaction Mismatch,Amount Mismatch,Low,72,TRUE,5,Phone,West,Agent_29
INC00048,C1467,4/1/2025 22:33,4/3/2025 0:54,1581,Delay,Clearing Delay,High,24,FALSE,1,Email,West,Agent_86
INC00049,C1561,6/12/2025 14:39,6/12/2025 18:04,205,Account Access,Locked Account,Medium,48,TRUE,5,Mobile App,South,Agent_96
INC00050,C1533,9/1/2025 14:16,9/2/2025 16:30,1574,Fraud Detection,Suspicious Login,Low,72,TRUE,4,Mobile App,South,Agent_36
INC00051,C1553,8/14/2025 2:45,,,Fraud Detection,Account Takeover,Low,72,FALSE,,Phone,South,Agent_20
INC00052,C1555,4/29/2025 12:44,4/29/2025 15:58,194,Account Access,Password Reset,Medium,48,TRUE,4,Mobile App,West,Agent_8
INC00053,C1783,4/16/2025 13:24,4/16/2025 19:24,360,Account Access,Locked Account,Low,72,TRUE,5,Mobile App,West,Agent_1
INC00054,C1559,6/30/2025 9:48,6/30/2025 21:19,691,KYC/Documentation,Verification Delay,Medium,48,TRUE,5,Email,West,Agent_29
INC00055,C1741,5/20/2025 13:31,5/21/2025 1:18,707,Transaction Mismatch,Missing Transaction,Medium,48,TRUE,5,Email,West,Agent_118
INC00056,C1085,3/7/2025 19:34,3/9/2025 9:53,2299,KYC/Documentation,Mismatch Info,Medium,48,TRUE,2,Mobile App,South,Agent_111
INC00057,C1779,8/25/2025 5:03,8/25/2025 16:59,716,Transaction Mismatch,Amount Mismatch,Medium,48,TRUE,5,Mobile App,East,Agent_97
INC00058,C1229,8/4/2025 8:53,8/4/2025 16:24,451,Transaction Mismatch,Missing Transaction,Medium,48,TRUE,5,Phone,North,Agent_97
INC00059,C1484,1/16/2025 7:12,,,Delay,Clearing Delay,Low,72,FALSE,,Phone,Central,Agent_28
INC00060,C1735,8/27/2025 22:16,8/28/2025 12:21,845,Transaction Mismatch,Missing Transaction,Medium,48,TRUE,4,Phone,South,Agent_40
INC00061,C1406,2/25/2025 18:01,2/25/2025 23:52,351,Transaction Mismatch,Missing Transaction,High,24,TRUE,5,Email,North,Agent_76
INC00062,C1815,5/5/2025 3:44,5/5/2025 14:11,627,Transaction Mismatch,Missing Transaction,Medium,48,TRUE,5,Phone,East,Agent_69
INC00063,C1842,8/8/2025 21:23,8/9/2025 2:11,288,Payment Failure,Insufficient Funds,Low,72,TRUE,5,Mobile App,North,Agent_56
INC00064,C1534,7/5/2025 20:57,7/6/2025 5:00,483,Transaction Mismatch,Amount Mismatch,Medium,48,TRUE,5,Chat,Central,Agent_104
