inquiry_id,priority,issue_category,issue_subcategory,channel,region,handled_by,hour_of_day,weekday,sla_breach_flag,resolution_minutes,sla_hours,created_at
INC00001,Medium,Fraud Detection,Card Fraud,Phone,Central,Agent_55,0,4,0,862,48,2025-02-27 00:47:00
INC00002,Low,Fraud Detection,Suspicious Login,Mobile App,South,Agent_58,0,5,0,827,72,2025-01-17 00:05:00
INC00003,Low,Delay,Interbank Delay,Chat,North,Agent_12,0,5,0,3055,72,2025-05-23 00:48:00
INC00004,High,Transaction Mismatch,Duplicate Transaction,Phone,West,Agent_11,3,1,0,631,24,2025-07-14 03:22:00
INC00005,Low,KYC/Documentation,Mismatch Info,Email,East,Agent_11,20,6,0,1616,72,2025-05-31 20:39:00
INC00006,Low,Transaction Mismatch,Duplicate Transaction,Chat,North,Agent_78,3,3,0,582,72,2025-04-30 03:24:00
INC00007,Low,Delay,Interbank Delay,Email,East,Agent_108,17,6,0,1650,72,2025-03-29 17:46:00
INC00008,Low,KYC/Documentation,Verification Delay,Chat,South,Agent_84,7,3,0,628,72,2025-01-29 07:52:00
INC00009,Low,Payment Failure,Gateway Error,Chat,Central,Agent_55,12,6,0,194,72,2025-09-13 12:56:00
INC00010,High,Payment Failure,Gateway Error,Email,South,Agent_102,11,4,0,409,24,2025-07-24 11:14:00
INC00011,Medium,Transaction Mismatch,Duplicate Transaction,Phone,North,Agent_88,19,2,0,416,48,2025-08-05 19:04:00
INC00012,Medium,Fraud Detection,Card Fraud,Chat,Central,Agent_98,20,6,0,1279,48,2025-05-17 20:21:00
INC00013,High,KYC/Documentation,Verification Delay,Email,South,Agent_48,16,3,0,1182,24,2025-04-02 16:58:00
INC00014,Medium,Payment Failure,Gateway Error,Phone,East,Agent_113,17,1,0,80,48,2025-03-24 17:49:00
INC00015,Low,KYC/Documentation,Missing Documents,Phone,Central,Agent_99,7,6,0,3021,72,2025-06-07 07:03:00
INC00016,Low,Chargeback,Customer Dispute,Mobile App,South,Agent_119,4,4,0,1335,72,2025-03-06 04:42:00
INC00017,Medium,Chargeback,Merchant Error,Phone,South,Agent_29,22,0,0,626,48,2025-04-13 22:19:00
INC00018,Low,Payment Failure,Beneficiary Error,Phone,South,Agent_9,10,0,0,645,72,2025-02-02 10:01:00
INC00019,Medium,Fraud Detection,Suspicious Login,Mobile App,South,Agent_101,10,5,0,852,48,2025-01-17 10:04:00
INC00020,Low,Delay,Interbank Delay,Phone,North,Agent_8,13,0,0,3943,72,2025-08-31 13:12:00
INC00021,Low,KYC/Documentation,Missing Documents,Email,West,Agent_24,23,6,0,608,72,2025-07-26 23:21:00
INC00022,High,Chargeback,Merchant Error,Phone,North,Agent_84,14,5,0,940,24,2025-05-23 14:15:00
INC00023,Medium,KYC/Documentation,Missing Documents,Mobile App,North,Agent_22,2,3,0,755,48,2025-01-08 02:59:00
INC00024,Low,Chargeback,Merchant Error,Mobile App,South,Agent_25,0,1,0,1157,72,2025-07-14 00:24:00
INC00025,Medium,Account Access,Password Reset,Mobile App,Central,Agent_118,6,0,0,50,48,2025-06-01 06:03:00
INC00026,Medium,KYC/Documentation,Missing Documents,Email,West,Agent_16,1,6,0,1508,48,2025-03-22 01:32:00
INC00027,Medium,Payment Failure,Insufficient Funds,Chat,East,Agent_27,18,3,0,351,48,2025-05-07 18:38:00
INC00028,Low,Delay,Processing Queue,Phone,North,Agent_59,7,2,0,3202,72,2025-06-10 07:16:00
INC00029,High,Payment Failure,Gateway Error,Email,East,Agent_37,2,5,0,471,24,2025-02-21 02:34:00
INC00030,Critical,Account Access,Locked Account,Phone,Central,Agent_39,14,6,0,187,4,2025-03-22 14:53:00
INC00031,Medium,KYC/Documentation,Mismatch Info,Email,East,Agent_27,4,0,0,943,48,2025-02-23 04:16:00
INC00032,Low,KYC/Documentation,Missing Documents,Chat,North,Agent_1,16,5,0,1854,72,2025-05-16 16:31:00
INC00033,Medium,Delay,Interbank Delay,Phone,North,Agent_10,4,5,0,64,48,2025-06-20 04:40:00
INC00034,Low,Transaction Mismatch,Missing Transaction,Chat,East,Agent_116,17,2,0,816,72,2025-03-18 17:02:00
INC00035,Low,Fraud Detection,Card Fraud,Mobile App,Central,Agent_96,11,2,0,558,72,2025-01-21 11:13:00
INC00036,High,Chargeback,Customer Dispute,Chat,West,Agent_103,7,5,0,803,24,2025-03-21 07:55:00
INC00037,High,Account Access,MFA Issue,Email,South,Agent_105,8,4,0,247,24,2025-05-08 08:10:00
INC00038,Low,Account Access,Password Reset,Mobile App,East,Agent_36,11,0,0,249,72,2025-08-24 11:19:00
INC00039,Critical,Payment Failure,Beneficiary Error,Phone,North,Agent_113,8,3,0,165,4,2025-02-05 08:22:00
INC00040,Medium,Delay,Processing Queue,Chat,West,Agent_78,5,3,0,874,48,2025-05-14 05:37:00
INC00041,Medium,Fraud Detection,Card Fraud,Email,East,Agent_56,12,6,0,960,48,2025-03-01 12:57:00
INC00042,High,Payment Failure,Beneficiary Error,Chat,Central,Agent_40,21,3,0,186,24,2025-02-05 21:58:00
INC00043,Low,Fraud Detection,Card Fraud,Mobile App,South,Agent_79,10,2,0,1054,72,2025-07-29 10:25:00
INC00044,Low,Delay,Interbank Delay,Chat,West,Agent_57,12,3,0,2161,72,2025-06-04 12:35:00
INC00045,Low,Transaction Mismatch,Missing Transaction,Chat,North,Agent_105,21,5,0,874,72,2025-08-15 21:13:00
INC00046,Low,KYC/Documentation,Missing Documents,Phone,West,Agent_54,21,4,0,1174,72,2025-05-01 21:19:00
INC00047,Low,Transaction Mismatch,Amount Mismatch,Phone,West,Agent_29,22,4,0,707,72,2025-04-10 22:44:00
INC00048,High,Delay,Clearing Delay,Email,West,Agent_86,22,2,1,1581,24,2025-04-01 22:33:00
INC00049,Medium,Account Access,Locked Account,Mobile App,South,Agent_96,14,4,0,205,48,2025-06-12 14:39:00
INC00050,Low,Fraud Detection,Suspicious Login,Mobile App,South,Agent_36,14,1,0,1574,72,2025-09-01 14:16:00
INC00051,Low,Fraud Detection,Account Takeover,Phone,South,Agent_20,2,4,1,,72,2025-08-14 02:45:00
INC00052,Medium,Account Access,Password Reset,Mobile App,West,Agent_8,12,2,0,194,48,2025-04-29 12:44:00
INC00053,Low,Account Access,Locked Account,Mobile App,West,Agent_1,13,3,0,360,72,2025-04-16 13:24:00
INC00054,Medium,KYC/Documentation,Verification Delay,Email,West,Agent_29,9,1,0,691,48,2025-06-30 09:48:00
INC00055,Medium,Transaction Mismatch,Missing Transaction,Email,West,Agent_118,13,2,0,707,48,2025-05-20 13:31:00
INC00056,Medium,KYC/Documentation,Mismatch Info,Mobile App,South,Agent_111,19,5,0,2299,48,2025-03-07 19:34:00
INC00057,Medium,Transaction Mismatch,Amount Mismatch,Mobile App,East,Agent_97,5,1,0,716,48,2025-08-25 05:03:00
INC00058,Medium,Transaction Mismatch,Missing Transaction,Phone,North,Agent_97,8,1,0,451,48,2025-08-04 08:53:00
INC00059,Low,Delay,Clearing Delay,Phone,Central,Agent_28,7,4,1,,72,2025-01-16 07:12:00
INC00060,Medium,Transaction Mismatch,Missing Transaction,Phone,South,Agent_40,22,3,0,845,48,2025-08-27 22:16:00
INC00061,High,Transaction Mismatch,Missing Transaction,Email,North,Agent_76,18,2,0,351,24,2025-02-25 18:01:00
INC00062,Medium,Transaction Mismatch,Missing Transaction,Phone,East,Agent_69,3,1,0,627,48,2025-05-05 03:44:00
INC00063,Low,Payment Failure,Insufficient Funds,Mobile App,North,Agent_56,21,5,0,288,72,2025-08-08 21:23:00
INC00064,Medium,Transaction Mismatch,Amount Mismatch,Chat,Central,Agent_104,20,6,0,483,48,2025-07-05 20:57:00
INC00065,Low,Account Access,MFA Issue,Phone,East,Agent_113,14,5,0,277,72,2025-09-05 14:27:00
INC00066,Low,Payment Failure,Beneficiary Error,Chat,South,Agent_63,7,2,0,408,72,2025-08-19 07:48:00
INC00067,Medium,Transaction Mismatch,Missing Transaction,Phone,Central,Agent_25,11,6,0,563,48,2025-04-19 11:51:00
INC00068,Medium,Transaction Mismatch,Amount Mismatch,Mobile App,West,Agent_102,7,4,0,646,48,2025-02-13 07:46:00
INC00069,Low,Transaction Mismatch,Amount Mismatch,Mobile App,Central,Agent_68,2,4,0,891,72,2025-01-09 02:18:00
INC00070,Medium,Transaction Mismatch,Missing Transaction,Email,North,Agent_93,13,4,0,540,48,2025-06-26 13:47:00
INC00071,Low,Payment Failure,Beneficiary Error,Mobile App,East,Agent_93,10,3,0,965,72,2025-04-09 10:07:00
INC00072,Low,Fraud Detection,Account Takeover,Email,East,Agent_6,3,0,1,,72,2025-05-25 03:53:00
INC00073,Low,Chargeback,Merchant Error,Chat,West,Agent_62,17,2,0,768,72,2025-01-28 17:18:00
INC00074,Low,Fraud Detection,Account Takeover,Mobile App,North,Agent_74,10,4,0,1346,72,2025-08-14 10:11:00
INC00075,Low,Payment Failure,Insufficient Funds,Mobile App,Central,Agent_77,4,2,0,463,72,2025-01-28 04:09:00
INC00076,High,KYC/Documentation,Verification Delay,Phone,Central,Agent_95,16,6,0,728,24,2025-04-26 16:24:00
INC00077,Low,Fraud Detection,Card Fraud,Phone,South,Agent_1,6,4,0,586,72,2025-02-20 06:40:00
INC00078,Low,Transaction Mismatch,Amount Mismatch,Chat,West,Agent_10,14,2,1,,72,2025-07-29 14:44:00
INC00079,High,Payment Failure,Beneficiary Error,Phone,Central,Agent_29,8,3,0,118,24,2025-04-30 08:50:00
INC00080,High,Delay,Clearing Delay,Chat,West,Agent_16,8,2,1,2398,24,2025-03-18 08:52:00
INC00081,Medium,Transaction Mismatch,Duplicate Transaction,Phone,Central,Agent_6,22,4,0,636,48,2025-08-28 22:19:00
INC00082,Low,Fraud Detection,Card Fraud,Phone,East,Agent_74,23,0,0,1755,72,2025-08-10 23:20:00
INC00083,Low,Account Access,MFA Issue,Mobile App,North,Agent_61,5,2,0,247,72,2025-01-21 05:30:00
INC00084,Low,Account Access,Password Reset,Chat,West,Agent_105,13,6,0,465,72,2025-06-28 13:21:00
INC00085,Critical,Fraud Detection,Card Fraud,Phone,Central,Agent_60,14,0,1,,4,2025-01-19 14:05:00
INC00086,Medium,Transaction Mismatch,Duplicate Transaction,Email,East,Agent_71,1,4,0,931,48,2025-07-31 01:12:00
INC00087,Low,Account Access,Password Reset,Email,South,Agent_40,9,0,0,317,72,2025-03-09 09:28:00
INC00088,Medium,Fraud Detection,Card Fraud,Email,West,Agent_120,17,3,0,842,48,2025-01-08 17:26:00
INC00089,Critical,Transaction Mismatch,Duplicate Transaction,Email,West,Agent_25,16,5,0,192,4,2025-05-30 16:45:00
INC00090,Low,Account Access,MFA Issue,Chat,North,Agent_37,2,2,0,332,72,2025-03-11 02:17:00
INC00091,Medium,Transaction Mismatch,Amount Mismatch,Chat,Central,Agent_98,18,1,0,648,48,2025-06-02 18:37:00
INC00092,Low,KYC/Documentation,Mismatch Info,Mobile App,North,Agent_41,14,0,0,2080,72,2025-07-13 14:59:00
INC00093,High,Transaction Mismatch,Missing Transaction,Mobile App,North,Agent_17,22,0,0,489,24,2025-08-31 22:58:00
INC00094,Low,Delay,Interbank Delay,Mobile App,North,Agent_93,18,1,1,,72,2025-09-15 18:21:00
INC00095,Medium,Chargeback,Customer Dispute,Mobile App,North,Agent_110,13,6,0,514,48,2025-03-15 13:55:00
INC00096,Medium,Transaction Mismatch,Duplicate Transaction,Mobile App,Central,Agent_5,21,3,0,850,48,2025-06-18 21:54:00
INC00097,Medium,Chargeback,Customer Dispute,Phone,West,Agent_22,7,3,0,472,48,2025-02-05 07:40:00
INC00098,Low,Account Access,MFA Issue,Email,Central,Agent_53,0,2,0,179,72,2025-06-03 00:02:00
INC00099,Medium,Payment Failure,Insufficient Funds,Email,South,Agent_60,5,4,0,383,48,2025-04-03 05:11:00
INC00100,High,Delay,Interbank Delay,Email,North,Agent_57,14,0,0,1245,24,2025-05-11 14:16:00
